Intercept;Maximum_height;Leaf_area;Anemochoric;Zoochoric;Climax;Early_secondary;Late_secondary;Central_sa;Eastern_sa;Local_endemic;Neotropical;Pantropical;Regional_endemic;Sa;Southern_sa;Seed_length;Wood_density;Leaf_type
1;14.4;1.731339866;0;1;0;1;0;0;0;0;1;0;0;0;0;0.903095416;0.5185;1
1;27;1.635452571;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.267525823;0.49;0
1;32.2;1.50834506;0;0;0;0;0;0;0;0;0;0;1;0;0;-0.24328784;0.384373862;0
1;15;1.934007947;0;0;0;0;0;0;0;1;0;0;0;0;0;4.34E-05;0.510322109;0
1;21.4;2.334422575;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.24328784;0.45;0
1;22.2;1.849332391;0;0;0;0;0;0;0;0;0;0;1;0;0;-0.154839922;0.510322109;0
1;18.2;1.781580607;0;0;0;0;0;0;0;0;0;0;0;1;0;-0.481354476;0.485666667;0
1;30;1.360792658;0;1;0;0;1;0;0;0;0;0;0;1;0;0.349879487;0.548666667;0
1;35;1.569965025;0;1;0;0;1;0;1;0;0;0;0;0;0;0.361260921;0.563170287;0
1;35;1.525983669;0;1;0;0;1;0;1;0;0;0;0;0;0;0.20477997;0.645;0
1;30;1.180422109;0;1;0;0;1;0;0;0;0;0;1;0;0;0.659069594;0.597667733;0
1;21.2;1.10453787;0;1;0;0;0;0;0;0;0;0;1;0;0;0.051191125;0.558;1
1;24.4;1.860111676;0;1;0;1;0;0;0;0;1;0;0;0;0;0.181872159;0.605833333;1
1;19.3;1.591052868;0;1;0;1;0;0;1;0;0;0;0;0;0;0.15839265;0.6050625;1
1;21.2;2.060742187;0;1;0;0;1;0;0;0;0;0;1;0;0;0.107583031;0.622;1
1;23.6;1.247272399;0;1;0;0;1;0;0;0;1;0;0;0;0;0.155366407;0.691;1
1;10.8;1.098190792;0;1;0;1;0;0;0;0;0;0;1;0;0;-0.045709238;0.626257314;1
1;22.8;1.953688582;0;1;0;1;0;0;0;0;0;0;0;1;0;0.033162296;0.661355556;1
1;16;1.320787095;0;1;0;0;1;0;0;0;0;0;1;0;0;4.34E-05;0.628;1
1;10;1.950882175;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.380107024;0.640571429;0
1;12.75;0.729192537;1;0;0;1;0;0;1;0;0;0;0;0;0;-1.347753659;0.1998;1
1;24.97;1.253771992;1;0;0;0;1;0;1;0;0;0;0;0;0;-1.393618635;0.18;1
1;13.773;1.051795222;1;0;1;0;0;0;0;0;1;0;0;0;0;-1.442492798;0.173;1
1;4.7;0.879279529;1;0;0;0;1;0;0;0;0;0;1;0;0;-1.402963335;0.1998;1
1;26.544;1.139356875;1;0;0;0;1;0;0;0;0;0;0;1;0;-1.354086725;0.204;1
1;18.8;1.819918151;1;0;0;1;0;0;0;0;0;0;0;1;0;0.311775046;0.6095;1
1;25;1.003781725;1;0;0;1;0;0;0;0;0;0;1;0;0;0.338476415;0.6;1
1;28;1.24246114;1;0;0;1;0;0;1;0;0;0;0;0;0;0.338476415;0.620666667;1
1;11.6;2.005322549;1;0;0;1;0;0;0;0;0;0;1;0;0;0.338476415;0.443837648;1
1;20;0.602705343;1;0;0;1;0;0;1;0;0;0;0;0;0;0.079217436;0.874333333;1
1;10.8;1.115851535;1;0;0;1;0;0;0;0;0;0;1;0;0;0.1602734;0.9188;1
1;16.6;0.561607862;1;0;0;1;0;0;0;0;0;0;0;1;0;0.1602734;0.683333333;1
1;16;0.534974623;1;0;0;1;0;0;1;0;0;0;0;0;0;0.278776458;0.753625;1
1;25;-0.101665064;1;0;0;1;0;0;1;0;0;0;0;0;0;0.049256797;0.741333333;1
1;21.5;-0.180630833;1;0;0;0;1;0;1;0;0;0;0;0;0;-0.022230682;0.5955;1
1;18;1.232549143;0;1;0;1;0;0;0;0;0;0;1;0;0;0.049256797;0.52;0
1;12.591;1.664157987;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.229074385;0.446333333;0
